City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,hlybokaye,55.1382,27.6879,269.52,96,100,4.41,BY,1701040064
247,baruun-urt,46.6806,113.2792,252.54,89,54,3.33,MN,1701040065
248,ushtobe,45.2514,77.9838,277.83,66,92,3.74,KZ,1701040066
249,saldanha,-33.0117,17.9442,289.86,87,6,5.42,ZA,1701040066
250,as sulayyil,20.4607,45.5779,294.29,43,10,1.97,SA,1701040067
251,harstad,68.799,16.5293,272.94,96,56,1.79,NO,1701040067
252,zanjan,36.6736,48.4787,280.83,67,5,6.12,IR,1701040068
253,vilyuchinsk,52.9306,158.4028,265.33,78,26,3.36,RU,1701040069
254,sunland park,31.7965,-106.58,287.84,38,0,5.36,US,1701040069
255,formosa do rio preto,-11.0483,-45.1931,302.95,36,23,3.37,BR,1701040070
256,bocana de paiwas,12.7857,-85.1227,297.9,88,83,2.52,NI,1701040070
257,puerto armuelles,8.2833,-82.8667,301.02,82,69,3.13,PA,1701040071
258,hasaki,35.7333,140.8333,282.2,73,22,2.2,JP,1701040071
259,nogliki,51.8333,143.1667,256.12,67,1,9.39,RU,1701040072
260,dazuocun,24.8862,118.9643,290.64,81,0,5.72,CN,1701040073
261,vila do maio,15.1333,-23.2167,297.59,65,46,5.72,CV,1701040073
262,luchegorsk,46.4764,134.2569,251.95,99,100,0.74,RU,1701040074
263,togur,58.3631,82.8265,258.79,100,91,1.34,RU,1701040075
264,devizes,51.3508,-1.9942,283.07,95,100,4.74,GB,1701040075
265,bentota,6.4254,79.9948,297.93,89,76,1.11,LK,1701040076
266,tromso,69.6496,18.957,269.16,93,75,1.03,NO,1701040076
267,devils lake,48.1128,-98.8651,262.56,68,0,6.17,US,1701040033
268,arraial do cabo,-22.9661,-42.0278,296.07,77,69,6.82,BR,1701040078
269,richards bay,-28.783,32.0377,294.86,94,15,0.98,ZA,1701040078
270,erding,48.306,11.9069,274.55,89,75,4.12,DE,1701040079
271,show low,34.2542,-110.0298,279.86,53,0,4.12,US,1701040080
272,tsiombe,-25.3,45.4833,295.39,91,2,1.83,MG,1701040052
273,fort bragg,35.139,-79.006,282.06,89,75,2.57,US,1701040082
274,punta gorda,26.9298,-82.0454,299.26,89,100,5.14,US,1701040082
275,anna regina,7.2644,-58.5077,300.11,79,100,4.1,GY,1701040083
276,taro,-8.3862,115.28,295.15,83,100,0.51,ID,1701040084
277,lospalos,-8.5186,127.0025,300.57,60,63,1.11,TL,1701040085
278,gorgan,36.8387,54.4348,291.92,24,0,2.59,IR,1701040086
279,conil de la frontera,36.2772,-6.0885,283.03,75,97,1.99,ES,1701040087
280,saynshand,44.8824,110.1163,263.57,79,100,4.93,MN,1701040087
281,el sauzal de rodriguez,31.9,-116.6833,290.29,34,100,2.29,MX,1701040088
282,la mira,18.035,-102.3266,301.3,70,87,2.94,MX,1701040089
283,satkhira,22.7167,89.1,291.99,63,9,0.53,BD,1701040090
284,rimouski,48.4488,-68.524,271.89,87,66,2.65,CA,1701040091
285,aykhal,66.0,111.5,252.18,99,99,3.94,RU,1701040088
286,saint-pierre,-21.3393,55.4781,295.97,68,0,3.09,RE,1701040092
287,ofunato,39.0717,141.7167,281.63,84,100,1.05,JP,1701040093
288,holualoa,19.6228,-155.9522,299.06,81,20,6.17,US,1701040093
289,island harbour,50.724,-1.2758,284.35,93,100,1.79,GB,1701040094
290,juneau,58.3019,-134.4197,281.15,97,100,6.17,US,1701040095
291,fort st. john,56.2499,-120.8529,270.21,92,52,1.29,CA,1701040096
292,aniva,46.7144,142.5294,267.21,57,39,4.68,RU,1701040096
293,bor,56.3567,44.0669,273.15,98,100,4.71,RU,1701040097
294,namibe,-15.1961,12.1522,297.1,70,69,2.34,AO,1701040098
295,paradip garh,20.3167,86.6167,293.4,71,77,3.53,IN,1701040099
296,greymouth,-42.4667,171.2,289.02,70,90,2.83,NZ,1701040100
297,necochea,-38.5473,-58.7368,297.19,49,78,2.39,AR,1701040101
298,la'ie,21.6477,-157.9253,302.13,73,100,1.79,US,1701040102
299,kristiansund,63.1115,7.732,271.51,64,3,3.6,NO,1701040102
300,belmonte,-15.8631,-38.8828,297.95,84,94,4.93,BR,1701039825
301,geraldton,-28.7667,114.6,293.38,83,40,1.54,AU,1701040104
302,matadi,-5.8167,13.45,298.49,91,100,1.18,CD,1701040105
303,mossel bay,-34.1831,22.146,292.47,75,16,2.2,ZA,1701040106
304,lebu,-37.6167,-73.65,287.46,84,100,4.7,CL,1701040106
305,enriquillo,17.9,-71.2333,299.97,88,63,4.09,DO,1701040108
306,al ghayzah,16.2079,52.176,298.8,70,10,1.36,YE,1701040109
307,cananeia,-25.0147,-47.9267,293.63,86,100,1.21,BR,1701040109
308,yuzhno-kurilsk,44.0306,145.8556,272.8,78,27,0.68,RU,1701040110
309,saipan,15.1355,145.701,302.54,79,0,8.75,MP,1701040111
310,suva,-18.1416,178.4415,300.86,78,75,4.63,FJ,1701040111
311,novodvinsk,64.4165,40.8122,257.47,99,67,1.61,RU,1701040112
312,east london,-33.0153,27.9116,294.28,95,37,3.71,ZA,1701040112
